"รหัสสถานี","เขต","สถานี","วัน-เวลา","ฝน 5 นาที","ฝน 15 นาที","ฝน 30 นาที","ฝน 1 ชม.","ฝน 3 ชม.","ฝน 6 ชม.","ฝน 12 ชม.","ฝน 24 ชม.","ดูข้อมูล"
"RF.KTY.01","คลองเตย","สนข.คลองเตย","01/05/2564 03:20","0.5","0.5","0.5","0.5","0.5","0.5","0.5","3.5","ดูข้อมูล"
"RF.KTY.01","คลองเตย","สนข.คลองเตย","01/05/2564 03:40","0.5","0.5","1.0","1.0","1.0","1.0","1.0","4.0","ดูข้อมูล"
"RF.KTY.01","คลองเตย","สนข.คลองเตย","01/05/2564 03:50","0.5","1.0","1.0","1.5","1.5","1.5","1.5","4.5","ดูข้อมูล"
"RF.KTY.01","คลองเตย","สนข.คลองเตย","01/05/2564 03:55","0.5","1.0","1.5","2.0","2.0","2.0","2.0","5.0","ดูข้อมูล"
"RF.KTY.01","คลองเตย","สนข.คลองเตย","01/05/2564 04:00","0.5","1.5","2.0","2.5","2.5","2.5","2.5","5.5","ดูข้อมูล"
"RF.KTY.01","คลองเตย","สนข.คลองเตย","01/05/2564 04:10","0.5","1.0","2.0","3.0","3.0","3.0","3.0","6.0","ดูข้อมูล"
"RF.KTY.01","คลองเตย","สนข.คลองเตย","01/05/2564 04:25","0.5","0.5","1.5","3.0","3.5","3.5","3.5","6.5","ดูข้อมูล"
"RF.KTY.01","คลองเตย","สนข.คลองเตย","01/05/2564 04:30","0.5","1.0","1.5","3.5","4.0","4.0","4.0","7.0","ดูข้อมูล"
"RF.KTY.01","คลองเตย","สนข.คลองเตย","01/05/2564 04:35","0.5","1.5","2.0","4.0","4.5","4.5","4.5","7.5","ดูข้อมูล"
"RF.KTY.01","คลองเตย","สนข.คลองเตย","01/05/2564 04:45","0.5","1.0","2.0","4.0","5.0","5.0","5.0","8.0","ดูข้อมูล"
"RF.KTY.01","คลองเตย","สนข.คลองเตย","01/05/2564 04:50","0.5","1.0","2.5","4.0","5.5","5.5","5.5","8.5","ดูข้อมูล"
"RF.KTY.01","คลองเตย","สนข.คลองเตย","01/05/2564 05:00","0.5","1.0","2.0","3.5","6.0","6.0","6.0","9.0","ดูข้อมูล"
"RF.KTY.01","คลองเตย","สนข.คลองเตย","01/05/2564 05:10","0.5","1.0","2.0","3.5","6.5","6.5","6.5","9.5","ดูข้อมูล"
"RF.KTY.01","คลองเตย","สนข.คลองเตย","01/05/2564 05:15","0.5","1.0","2.0","4.0","7.0","7.0","7.0","10.0","ดูข้อมูล"
"RF.KTY.01","คลองเตย","สนข.คลองเตย","01/05/2564 05:20","0.5","1.5","2.0","4.5","7.5","7.5","7.5","10.5","ดูข้อมูล"
"RF.KTY.01","คลองเตย","สนข.คลองเตย","01/05/2564 05:30","2.0","2.5","3.5","5.5","9.5","9.5","9.5","12.5","ดูข้อมูล"
"RF.KTY.01","คลองเตย","สนข.คลองเตย","01/05/2564 05:35","0.5","2.5","4.0","5.5","10.0","10.0","10.0","13.0","ดูข้อมูล"
"RF.KTY.01","คลองเตย","สนข.คลองเตย","01/05/2564 05:40","0.5","3.0","4.0","6.0","10.5","10.5","10.5","13.5","ดูข้อมูล"
"RF.KTY.01","คลองเตย","สนข.คลองเตย","01/05/2564 06:20","0.5","0.5","0.5","3.5","10.5","11.0","11.0","14.0","ดูข้อมูล"
"RF.KTY.01","คลองเตย","สนข.คลองเตย","01/05/2564 06:30","0.5","1.0","1.0","2.0","11.0","11.5","11.5","14.5","ดูข้อมูล"
"RF.KTY.01","คลองเตย","สนข.คลองเตย","01/05/2564 06:45","0.5","0.5","1.5","1.5","11.0","12.0","12.0","15.0","ดูข้อมูล"
"RF.KTY.01","คลองเตย","สนข.คลองเตย","01/05/2564 06:55","0.5","1.0","1.5","2.0","10.5","12.5","12.5","15.5","ดูข้อมูล"
"RF.KTY.01","คลองเตย","สนข.คลองเตย","01/05/2564 07:05","0.5","1.0","1.5","2.5","10.5","13.0","13.0","16.0","ดูข้อมูล"
"RF.KTY.01","คลองเตย","สนข.คลองเตย","01/05/2564 07:15","0.5","1.0","1.5","3.0","10.5","13.5","13.5","16.5","ดูข้อมูล"
"RF.KTY.01","คลองเตย","สนข.คลองเตย","01/05/2564 07:30","0.5","0.5","1.5","2.5","10.0","14.0","14.0","17.0","ดูข้อมูล"
"RF.KTY.01","คลองเตย","สนข.คลองเตย","01/05/2564 07:50","0.5","0.5","1.0","2.5","9.0","14.5","14.5","17.5","ดูข้อมูล"
"RF.KTY.01","คลองเตย","สนข.คลองเตย","01/05/2564 08:25","0.5","0.5","0.5","1.5","7.5","15.0","15.0","18.0","ดูข้อมูล"
"RF.KTY.01","คลองเตย","สนข.คลองเตย","01/06/2564 01:25","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","ดูข้อมูล"
"RF.KTY.01","คลองเตย","สนข.คลองเตย","01/06/2564 01:35","0.5","1.0","1.0","1.0","1.0","1.0","1.0","1.0","ดูข้อมูล"
"RF.KTY.01","คลองเตย","สนข.คลองเตย","01/06/2564 01:50","0.5","0.5","1.5","1.5","1.5","1.5","1.5","1.5","ดูข้อมูล"
"RF.KTY.01","คลองเตย","สนข.คลองเตย","01/07/2564 22:45","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","ดูข้อมูล"
"RF.KTY.01","คลองเตย","สนข.คลองเตย","01/07/2564 22:50","3.0","5.5","5.5","5.5","5.5","5.5","5.5","5.5","ดูข้อมูล"
"RF.KTY.01","คลองเตย","สนข.คลองเตย","01/07/2564 22:55","0.5","6.0","6.0","6.0","6.0","6.0","6.0","6.0","ดูข้อมูล"
"RF.KTY.01","คลองเตย","สนข.คลองเตย","01/07/2564 23:00","2.5","6.0","8.5","8.5","8.5","8.5","8.5","8.5","ดูข้อมูล"
"RF.KTY.01","คลองเตย","สนข.คลองเตย","01/07/2564 23:05","3.5","6.5","12.0","12.0","12.0","12.0","12.0","12.0","ดูข้อมูล"
"RF.KTY.01","คลองเตย","สนข.คลองเตย","01/07/2564 23:10","4.0","10.0","16.0","16.0","16.0","16.0","16.0","16.0","ดูข้อมูล"
"RF.KTY.01","คลองเตย","สนข.คลองเตย","01/07/2564 23:15","1.0","8.5","14.5","17.0","17.0","17.0","17.0","17.0","ดูข้อมูล"
"RF.KTY.01","คลองเตย","สนข.คลองเตย","01/07/2564 23:20","1.0","6.0","12.5","18.0","18.0","18.0","18.0","18.0","ดูข้อมูล"
"RF.KTY.01","คลองเตย","สนข.คลองเตย","01/07/2564 23:25","0.5","2.5","12.5","18.5","18.5","18.5","18.5","18.5","ดูข้อมูล"
"RF.KTY.01","คลองเตย","สนข.คลองเตย","01/07/2564 23:30","1.0","2.5","11.0","19.5","19.5","19.5","19.5","19.5","ดูข้อมูล"
"RF.KTY.01","คลองเตย","สนข.คลองเตย","01/09/2564 00:10","0.5","0.5","0.5","0.5","2.0","2.0","4.5","8.0","ดูข้อมูล"
"RF.KTY.01","คลองเตย","สนข.คลองเตย","01/09/2564 02:05","0.5","0.5","0.5","0.5","1.0","2.5","4.5","8.5","ดูข้อมูล"
"RF.KTY.01","คลองเตย","สนข.คลองเตย","01/09/2564 07:55","0.5","0.5","0.5","0.5","0.5","1.0","3.0","5.5","ดูข้อมูล"
"RF.KTY.01","คลองเตย","สนข.คลองเตย","01/09/2564 20:40","0.5","0.5","0.5","0.5","0.5","0.5","0.5","3.5","ดูข้อมูล"
"RF.KTY.01","คลองเตย","สนข.คลองเตย","01/09/2564 20:50","2.0","2.5","2.5","2.5","2.5","2.5","2.5","5.5","ดูข้อมูล"
"RF.KTY.01","คลองเตย","สนข.คลองเตย","01/09/2564 20:55","2.0","4.0","4.5","4.5","4.5","4.5","4.5","7.5","ดูข้อมูล"
"RF.KTY.01","คลองเตย","สนข.คลองเตย","01/09/2564 21:00","0.5","4.5","5.0","5.0","5.0","5.0","5.0","8.0","ดูข้อมูล"
"RF.KTY.01","คลองเตย","สนข.คลองเตย","01/09/2564 21:05","1.0","3.5","6.0","6.0","6.0","6.0","6.0","9.0","ดูข้อมูล"
"RF.KTY.01","คลองเตย","สนข.คลองเตย","01/09/2564 21:10","0.5","2.0","6.0","6.5","6.5","6.5","6.5","9.5","ดูข้อมูล"
"RF.KTY.01","คลองเตย","สนข.คลองเตย","01/09/2564 21:15","1.0","2.5","7.0","7.5","7.5","7.5","7.5","10.5","ดูข้อมูล"
"RF.KTY.01","คลองเตย","สนข.คลองเตย","01/09/2564 21:20","0.5","2.0","5.5","8.0","8.0","8.0","8.0","11.0","ดูข้อมูล"
"RF.KTY.01","คลองเตย","สนข.คลองเตย","01/09/2564 21:30","0.5","1.0","3.5","8.5","8.5","8.5","8.5","11.5","ดูข้อมูล"
"RF.KTY.01","คลองเตย","สนข.คลองเตย","01/09/2564 21:55","0.5","0.5","1.0","4.5","9.0","9.0","9.0","12.0","ดูข้อมูล"
"RF.KTY.01","คลองเตย","สนข.คลองเตย","01/09/2564 22:05","0.5","1.0","1.0","3.5","9.5","9.5","9.5","12.0","ดูข้อมูล"
"RF.KTY.01","คลองเตย","สนข.คลองเตย","01/09/2564 22:20","0.5","0.5","1.5","2.0","10.0","10.0","10.0","12.5","ดูข้อมูล"
"RF.KTY.01","คลองเตย","สนข.คลองเตย","01/09/2564 22:40","0.5","0.5","1.0","2.0","10.5","10.5","10.5","13.0","ดูข้อมูล"
"RF.KTY.01","คลองเตย","สนข.คลองเตย","01/09/2564 23:05","0.5","0.5","1.0","1.5","11.0","11.0","11.0","12.5","ดูข้อมูล"
"RF.KTY.01","คลองเตย","สนข.คลองเตย","01/09/2564 23:30","0.5","0.5","1.0","1.5","11.5","11.5","11.5","13.0","ดูข้อมูล"
"RF.KTY.01","คลองเตย","สนข.คลองเตย","01/09/2564 23:45","0.5","0.5","1.0","1.5","11.5","12.0","12.0","13.5","ดูข้อมูล"
"RF.KTY.01","คลองเตย","สนข.คลองเตย","02/07/2564 08:55","0.5","0.5","0.5","0.5","0.5","0.5","20.0","20.0","ดูข้อมูล"
"RF.KTY.01","คลองเตย","สนข.คลองเตย","02/07/2564 17:55","0.5","0.5","0.5","0.5","0.5","0.5","1.0","20.5","ดูข้อมูล"
"RF.KTY.01","คลองเตย","สนข.คลองเตย","02/07/2564 18:05","0.5","1.0","1.0","1.0","1.0","1.0","1.5","21.0","ดูข้อมูล"
"RF.KTY.01","คลองเตย","สนข.คลองเตย","02/08/2564 18:20","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","ดูข้อมูล"
"RF.KTY.01","คลองเตย","สนข.คลองเตย","02/08/2564 18:25","0.5","1.5","1.5","1.5","1.5","1.5","1.5","1.5","ดูข้อมูล"
"RF.KTY.01","คลองเตย","สนข.คลองเตย","02/09/2564 00:00","0.5","0.5","1.0","2.0","7.5","12.5","12.5","14.0","ดูข้อมูล"
"RF.KTY.01","คลองเตย","สนข.คลองเตย","02/09/2564 01:00","0.5","0.5","0.5","0.5","4.0","13.0","13.0","14.0","ดูข้อมูล"
